PSh_profile_pe	PSh_profile_vd	PSh_profile_both	logMstar	logfgas	t_leda	barsize_kpc
0	0		0.000000	9.578000	-1.078345	8.900000	3.327135
0	0		0.000000	8.875000	0.315673	7.900000	0.000000
0	0		0.000000	8.741000	-0.551973	9.400000	1.768845
0	0		0.000000	9.846000	-0.604973	8.900000	1.987671
0	0		0.000000	9.251000	-0.391763	9.000000	1.550817
0	0		0.000000	8.401001	0.882231	8.800000	1.193645
0	0		0.000000	8.811000	0.293907	8.800000	1.288686
0	0		0.000000	9.370999	-0.213862	5.200000	7.427352
0	0		0.000000	8.758001	0.152194	8.000000	0.000000
0	0		0.000000	8.924000	-0.495841	8.900000	1.392571
0	0		0.000000	8.762999	0.274431	8.000000	1.787867
0	0		0.000000	9.119002	0.044804	8.000000	0.000000
0	0		0.000000	9.202000	-0.036593	8.000000	0.000000
0	0		0.000000	9.173000	-0.533217	4.100000	2.180236
0	0		0.000000	9.026999	0.038730	8.700000	1.676356
0	0		0.000000	8.911000	0.009673	8.800000	0.000000
0	0		0.000000	9.039001	-0.541567	9.000000	0.000000
0	0		0.000000	9.409001	-0.049323	6.000000	0.840681
1	1		1.000000	9.635000	-1.451702	2.000000	0.000000
0	0		0.000000	8.816000	0.038151	8.300000	4.141701
0	0		0.000000	8.992000	0.317999	8.700000	0.000000
0	0		0.000000	9.500000	-0.383689	8.700000	0.000000
0	0		0.000000	9.156001	0.059871	8.900000	0.000000
0	0		0.000000	8.841000	0.320646	7.900000	0.000000
0	0		0.000000	9.524999	-0.850954	9.700000	2.442747
0	0		0.000000	8.584000	0.405948	7.900000	3.424939
0	0		0.000000	8.843000	-0.295527	6.500000	0.000000
0	0		0.000000	9.180000	-1.044246	8.000000	1.501635
0	0		0.000000	9.314000	0.013329	9.600000	2.419090
